position,bounciness,size,bucket
318,0.527123746,16,2
377,0.532852779,16,4
712,0.532697289,16,9
749,0.500945923,16,8
82,0.535234742,16,1
134,0.517375867,16,3
196,0.530494933,16,5
7,0.536988182,16,2
361,0.521046609,16,7
602,0.545718514,16,9
752,0.548209116,16,10
360,0.519544206,16,6
605,0.513702898,16,7
782,0.507478599,16,10
296,0.543411746,16,4
742,0.530177177,16,9
42,0.508357051,16,2
186,0.514295473,16,2
317,0.536052602,16,3
440,0.518209047,16,9
532,0.546612604,16,9
190,0.511910055,16,4
402,0.532273588,16,5
560,0.536053611,16,7
740,0.548422766,16,8
746,0.526035541,16,10
328,0.510560129,16,3
484,0.516536828,16,7
671,0.538455249,16,8
470,0.54845802,16,8
52,0.536971427,16,2
1,0.534621908,16,2
81,0.534171088,16,1
181,0.54938564,16,1
587,0.540946511,16,7
641,0.527124221,16,9
197,0.506398789,16,4
428,0.508511941,16,6
540,0.541147679,16,9
762,0.508859651,16,10
757,0.549154324,16,10
466,0.506678294,16,7
180,0.527416742,16,2
643,0.541641166,16,10
120,0.510147908,16,2
256,0.51668721,16,4
542,0.543688677,16,9
692,0.509110641,16,8
756,0.54946872,16,10
396,0.510552116,16,4
221,0.543630572,16,1
551,0.509633785,16,9
606,0.54289703,16,6
562,0.535523565,16,9
265,0.5175078,16,7
166,0.520791445,16,3
792,0.546720618,16,7
792,0.546720618,16,8
724,0.514972375,16,8
724,0.514972375,16,9
335,0.547475468,16,8
379,0.524792415,16,8
29,0.510832838,16,3
372,0.515331189,16,5
785,0.539631292,16,8
791,0.500278858,16,7
454,0.519404407,16,3
781,0.539658,16,8
150,0.533006318,16,4
292,0.508968873,16,7
69,0.518560305,16,3
412,0.540730733,16,2
768,0.546637831,16,7
5,0.500284401,16,3
556,0.524145076,16,4
6,0.549158702,16,4
232,0.545952923,16,5
239,0.508536361,16,6
55,0.549002848,16,4
234,0.510792273,16,5
451,0.549272334,16,5
407,0.541338306,16,9
514,0.510616829,16,8
419,0.519760633,16,2
516,0.517316204,16,7
652,0.540713773,16,10
671,0.544331799,16,7
206,0.517711408,16,1
374,0.504314287,16,7
441,0.526659538,16,6
449,0.516035905,16,9
486,0.527396967,16,3
512,0.511232222,16,7
579,0.512084807,16,6
734,0.51759705,16,6
788,0.548546022,16,7
788,0.548546022,16,8
19,0.503056685,16,3
70,0.514484737,16,3
89,0.5103243,16,1
546,0.519225106,16,10
94,0.512600282,16,3
94,0.512600282,16,4
415,0.512856769,16,5
439,0.512128125,16,4
587,0.529647303,16,5
696,0.523555744,16,6
718,0.528772542,16,8
22,0.521460264,16,2
68,0.541415938,16,2
162,0.513297032,16,2
626,0.530580989,16,5
700,0.526078064,16,6
716,0.54217572,16,9
20,0.512336931,16,3
42,0.547339634,16,4
153,0.500477809,16,1
156,0.54025986,16,2
230,0.512527377,16,6
244,0.515497527,16,3
369,0.504733723,16,8
440,0.513944175,16,7
442,0.523536946,16,7
550,0.524274387,16,5
611,0.52027947,16,7
616,0.539013741,16,10
72,0.526776596,16,3
136,0.539027253,16,2
149,0.519673333,16,4
184,0.504509498,16,4
446,0.522907252,16,5
595,0.502879236,16,5
690,0.537117796,16,7
130,0.513990662,16,2
194,0.514220652,16,5
299,0.501610257,16,7
347,0.504419523,16,1
582,0.542082393,16,9
585,0.516150684,16,10
37,0.527720095,16,4
37,0.527720095,16,5
169,0.518289604,16,5
557,0.518673645,16,8
583,0.522042037,16,9
588,0.503494072,16,10
661,0.531085803,16,8
92,0.530280672,16,3
161,0.539622509,16,1
634,0.509789324,16,5
773,0.524723625,16,7
14,0.535228452,16,2
121,0.520739146,16,1
145,0.52733608,16,1
176,0.519648895,16,3
254,0.531984306,16,3
435,0.504983745,16,7
547,0.52532088,16,10
563,0.506656358,16,8
575,0.501024275,16,10
617,0.547925853,16,10
650,0.524989299,16,9
11,0.518177843,16,1
99,0.529796116,16,1
187,0.50763109,16,1
274,0.548578809,16,4
287,0.523741409,16,1
346,0.535598853,16,1
477,0.513696369,16,8
589,0.504250287,16,9
656,0.514008951,16,8
699,0.51633532,16,6
62,0.538006992,16,3
98,0.502646847,16,3
271,0.52011627,16,6
285,0.538806837,16,3
438,0.502442838,16,6
558,0.512175723,16,3
632,0.523995452,16,10
635,0.51088619,16,6
760,0.533046552,16,8
10,0.504813145,16,2
60,0.538794918,16,1
245,0.52142702,16,1
277,0.510841819,16,1
349,0.524396169,16,1
349,0.524396169,16,2
413,0.502367653,16,3
509,0.500280826,16,8
318,0.502469142,16,2
319,0.548096312,16,5
401,0.529159868,16,4
526,0.503638132,16,5
562,0.513086919,16,10
599,0.513498085,16,5
725,0.531470661,16,10
21,0.547214983,16,2
44,0.52768611,16,2
210,0.51640362,16,2
301,0.507340328,16,4
302,0.532480137,16,5
340,0.506863016,16,4
356,0.523809179,16,2
429,0.517759457,16,9
459,0.532751655,16,4
480,0.514845496,16,5
789,0.526703166,16,10
251,0.516182998,16,6
264,0.525378984,16,5
304,0.519198685,16,6
321,0.54470572,16,2
336,0.501799956,16,8
371,0.522830151,16,5
403,0.512358407,16,8
604,0.516577555,16,7
651,0.516454775,16,10
722,0.546367582,16,9
770,0.516066164,16,6
35,0.547586876,16,2
142,0.511631577,16,4
165,0.535337117,16,3
200,0.540728939,16,1
282,0.515560775,16,4
313,0.529148041,16,8
404,0.515800188,16,5
475,0.508157944,16,8
581,0.510451805,16,8
628,0.514629496,16,5
685,0.547669074,16,9
138,0.519562904,16,1
300,0.507064168,16,3
338,0.526560239,16,4
418,0.500459551,16,2
474,0.541267735,16,5
570,0.506113209,16,7
621,0.502584366,16,6
697,0.513156637,16,10
706,0.51196675,16,7
766,0.503361126,16,8
775,0.535041929,16,9
56,0.521240975,16,4
211,0.535473519,16,3
216,0.52586324,16,1
386,0.538723713,16,7
473,0.515190767,16,9
476,0.503146624,16,10
485,0.507791792,16,5
576,0.502449893,16,9
658,0.544455283,16,9
665,0.541473325,16,9
681,0.516634749,16,7
726,0.53581727,16,9
15,0.522588856,16,2
90,0.503779362,16,3
95,0.546952972,16,1
182,0.549223834,16,4
208,0.52460231,16,2
354,0.502627359,16,3
366,0.514151584,16,8
375,0.535953456,16,6
405,0.514008852,16,9
417,0.524747732,16,4
482,0.500830304,16,10
496,0.548939847,16,3
645,0.521450482,16,10
18,0.506054725,16,2
96,0.513051309,16,1
171,0.548873597,16,1
257,0.530964624,16,2
276,0.542216184,16,1
305,0.531496904,16,6
341,0.539079162,16,6
381,0.548523556,16,4
495,0.508026833,16,5
552,0.503758129,16,8
669,0.50065412,16,6
712,0.537463065,16,9
735,0.548566241,16,9
113,0.546395093,16,1
152,0.516135935,16,5
267,0.527245136,16,8
270,0.505553968,16,4
272,0.534838333,16,1
284,0.517646354,16,3
314,0.519625974,16,3
394,0.503360653,16,5
408,0.530232341,16,4
420,0.514391889,16,2
466,0.526863578,16,8
494,0.546572132,16,6
539,0.512901987,16,7
543,0.518600404,16,5
593,0.546193299,16,10
644,0.537189777,16,9
738,0.513614215,16,10
67,0.546025709,16,2
91,0.501668102,16,2
126,0.542565638,16,5
222,0.546528551,16,3
273,0.516732862,16,3
344,0.541766462,16,2
410,0.548617504,16,6
483,0.547848438,16,5
489,0.540354277,16,6
493,0.521050222,16,8
591,0.533723217,16,8
631,0.539983092,16,9
674,0.53450311,16,7
27,0.54626775,16,1
65,0.519455429,16,2
74,0.548656104,16,2
167,0.519405966,16,3
345,0.526734854,16,3
402,0.536271289,16,3
522,0.510654701,16,8
525,0.546540852,16,6
549,0.500372608,16,6
566,0.543907317,16,4
640,0.541134744,16,10
643,0.521804715,16,9
654,0.531305852,16,10
668,0.52052597,16,7
673,0.505854138,16,10
702,0.51733656,16,8
730,0.52228921,16,7
755,0.543874666,16,7
765,0.519653548,16,9
787,0.541714645,16,9
131,0.501476211,16,1
164,0.524108557,16,5
170,0.508769179,16,1
190,0.543994085,16,3
209,0.536878367,16,2
428,0.542701209,16,3
452,0.544369039,16,6
464,0.540526599,16,6
515,0.528329506,16,9
559,0.507259807,16,6
612,0.530357692,16,7
642,0.501876664,16,10
684,0.523652208,16,10
705,0.50992831,16,7
707,0.518982416,16,8
739,0.53298377,16,6
740,0.528304979,16,6
753,0.535210652,16,10
754,0.500739781,16,10
1,0.522981053,16,4
57,0.501598436,16,4
104,0.508632462,16,1
207,0.527209007,16,2
309,0.529405641,16,3
309,0.529405641,16,4
343,0.542964542,16,3
416,0.504666319,16,3
455,0.511518082,16,4
488,0.529938974,16,4
521,0.539803746,16,8
625,0.546377817,16,7
728,0.511053918,16,10
2,0.509906673,16,1
25,0.548597167,16,2
102,0.505459937,16,3
123,0.523804807,16,3
198,0.517440749,16,3
253,0.505894167,16,7
310,0.530461646,16,3
357,0.518963704,16,3
423,0.532695271,16,6
436,0.520852485,16,8
501,0.511790221,16,7
508,0.514810899,16,7
572,0.518123804,16,9
598,0.540308215,16,7
608,0.547721337,16,9
622,0.517773052,16,9
623,0.54010675,16,7
663,0.504986046,16,9
776,0.512985928,16,8
4,0.543403626,16,2
24,0.532193456,16,3
93,0.529468528,16,3
231,0.529275761,16,2
236,0.546293374,16,2
241,0.518198942,16,5
312,0.509914557,16,7
359,0.50134037,16,6
425,0.538752553,16,5
444,0.526523521,16,8
478,0.512628826,16,6
497,0.525886198,16,3
538,0.52327272,16,7
590,0.528772353,16,9
594,0.500209134,16,4
613,0.517740781,16,10
689,0.526983099,16,9
16,0.522042611,16,1
31,0.523179103,16,1
71,0.529149987,16,4
86,0.526897201,16,2
135,0.517120319,16,4
158,0.543766019,16,2
240,0.539780135,16,2
308,0.527377292,16,6
308,0.527377292,16,7
337,0.547288652,16,7
399,0.518048393,16,5
504,0.536212796,16,5
646,0.503010742,16,10
666,0.522515094,16,10
701,0.500708859,16,9
714,0.543805169,16,9
721,0.524333168,16,10
723,0.537656352,16,10
767,0.511706628,16,8
790,0.540377307,16,10
45,0.541075003,16,3
143,0.54891309,16,2
181,0.53676979,16,1
